frame_id,timestamp_seconds,timestamp
uniform_0077,763.974553,00:12:43.975
uniform_0078,774.026850,00:12:54.027
uniform_0079,784.079147,00:13:04.079
uniform_0080,794.131444,00:13:14.131
uniform_0081,804.183740,00:13:24.184
uniform_0082,814.236037,00:13:34.236
uniform_0083,824.288334,00:13:44.288
uniform_0084,834.340631,00:13:54.341
uniform_0085,844.392927,00:14:04.393
uniform_0086,854.445224,00:14:14.445
uniform_0087,864.497521,00:14:24.498
uniform_0088,874.549818,00:14:34.550
uniform_0089,884.602114,00:14:44.602
uniform_0090,894.654411,00:14:54.654
uniform_0091,904.706708,00:15:04.707
uniform_0092,914.759005,00:15:14.759
uniform_0093,924.811301,00:15:24.811
uniform_0094,934.863598,00:15:34.864
uniform_0095,944.915895,00:15:44.916
uniform_0096,954.968192,00:15:54.968
uniform_0097,965.020488,00:16:05.020
uniform_0098,975.072785,00:16:15.073
uniform_0099,985.125082,00:16:25.125
uniform_0100,995.177379,00:16:35.177
uniform_0101,1005.229675,00:16:45.230
uniform_0102,1015.281972,00:16:55.282
uniform_0103,1025.334269,00:17:05.334
uniform_0104,1035.386566,00:17:15.387
uniform_0105,1045.438862,00:17:25.439
uniform_0106,1055.491159,00:17:35.491
uniform_0107,1065.543456,00:17:45.543
uniform_0108,1075.595753,00:17:55.596
uniform_0109,1085.648049,00:18:05.648
uniform_0110,1095.700346,00:18:15.700
uniform_0111,1105.752643,00:18:25.753
uniform_0112,1115.804940,00:18:35.805
uniform_0113,1125.857236,00:18:45.857
uniform_0114,1135.909533,00:18:55.910
uniform_0115,1145.961830,00:19:05.962
uniform_0116,1156.014127,00:19:16.014
uniform_0117,1166.066423,00:19:26.066
uniform_0118,1176.118720,00:19:36.119
uniform_0119,1186.171017,00:19:46.171
uniform_0120,1196.223314,00:19:56.223
uniform_0121,1206.275610,00:20:06.276
uniform_0122,1216.327907,00:20:16.328
uniform_0123,1226.380204,00:20:26.380
uniform_0124,1236.432501,00:20:36.433
uniform_0125,1246.484797,00:20:46.485
uniform_0126,1256.537094,00:20:56.537
uniform_0127,1266.589391,00:21:06.589
uniform_0128,1276.641688,00:21:16.642
uniform_0129,1286.693984,00:21:26.694
uniform_0130,1296.746281,00:21:36.746
hv_0001,15.000000,00:00:15.000
hv_0002,16.000000,00:00:16.000
hv_0003,17.000000,00:00:17.000
hv_0004,18.000000,00:00:18.000
hv_0005,19.000000,00:00:19.000
hv_0006,20.000000,00:00:20.000
hv_0007,21.000000,00:00:21.000
hv_0008,22.000000,00:00:22.000
hv_0009,23.000000,00:00:23.000
hv_0010,24.000000,00:00:24.000
hv_0011,25.000000,00:00:25.000
hv_0012,26.000000,00:00:26.000
hv_0013,27.000000,00:00:27.000
hv_0014,28.000000,00:00:28.000
hv_0015,29.000000,00:00:29.000
hv_0016,66.000000,00:01:06.000
hv_0017,67.000000,00:01:07.000
hv_0018,68.000000,00:01:08.000
hv_0019,69.000000,00:01:09.000
hv_0020,70.000000,00:01:10.000
hv_0021,498.000000,00:08:18.000
hv_0022,499.000000,00:08:19.000
hv_0023,500.000000,00:08:20.000
hv_0024,501.000000,00:08:21.000
hv_0025,502.000000,00:08:22.000
hv_0026,503.000000,00:08:23.000
hv_0027,504.000000,00:08:24.000
hv_0028,505.000000,00:08:25.000
hv_0029,506.000000,00:08:26.000
hv_0030,507.000000,00:08:27.000
hv_0031,745.000000,00:12:25.000
hv_0032,746.000000,00:12:26.000
hv_0033,747.000000,00:12:27.000
hv_0034,748.000000,00:12:28.000
hv_0035,749.000000,00:12:29.000
hv_0036,817.000000,00:13:37.000
hv_0037,818.000000,00:13:38.000
hv_0038,819.000000,00:13:39.000
hv_0039,820.000000,00:13:40.000
hv_0040,821.000000,00:13:41.000
hv_0041,822.000000,00:13:42.000
hv_0042,823.000000,00:13:43.000
hv_0043,824.000000,00:13:44.000
hv_0044,825.000000,00:13:45.000
hv_0045,826.000000,00:13:46.000
hv_0046,827.000000,00:13:47.000
hv_0047,828.000000,00:13:48.000
hv_0048,829.000000,00:13:49.000
hv_0049,830.000000,00:13:50.000
hv_0050,831.000000,00:13:51.000
hv_0051,1115.000000,00:18:35.000
hv_0052,1116.000000,00:18:36.000
hv_0053,1117.000000,00:18:37.000
hv_0054,1118.000000,00:18:38.000
hv_0055,1119.000000,00:18:39.000
hv_0056,1120.000000,00:18:40.000
hv_0057,1121.000000,00:18:41.000
hv_0058,1122.000000,00:18:42.000
hv_0059,1123.000000,00:18:43.000
hv_0060,1124.000000,00:18:44.000
hv_0061,1284.000000,00:21:24.000
hv_0062,1285.000000,00:21:25.000
hv_0063,1286.000000,00:21:26.000
hv_0064,1287.000000,00:21:27.000
hv_0065,1288.000000,00:21:28.000
hv_0066,46.000000,00:00:46.000
hv_0067,47.000000,00:00:47.000
hv_0068,48.000000,00:00:48.000
hv_0069,49.000000,00:00:49.000
hv_0070,50.000000,00:00:50.000
